,text,category,noun,Nletters,frequency,synsets,labels
366,find,action_words,0,4,626520,18,1
367,finish,action_words,0,6,74299,15,2
368,fit,action_words,0,3,43502,16,2
369,fix,action_words,0,3,59349,17,1
370,get,action_words,0,3,2883193,37,1
371,give,action_words,0,4,811919,45,1
372,go,action_words,0,2,2738504,35,0
373,hate,action_words,0,4,128153,2,0
374,have,action_words,0,4,4764010,20,2
375,hear,action_words,0,4,360665,5,2
376,help,action_words,0,4,666286,12,1
377,hide,action_words,0,4,60133,6,1
378,hit,action_words,0,3,177770,24,1
379,hold,action_words,0,4,262367,45,1
380,hug,action_words,0,3,16724,3,1
381,hurry,action_words,0,5,130182,6,2
382,jump,action_words,0,4,46358,21,1
383,kick,action_words,0,4,41697,14,1
384,kiss,action_words,0,4,74790,6,1
385,knock,action_words,0,5,46228,11,1
386,lick,action_words,0,4,6617,7,2
387,like,action_words,0,4,2983027,11,2
388,listen,action_words,0,6,365791,3,2
389,look,action_words,0,4,1348467,14,1
390,love,action_words,0,4,830324,10,1
391,make,action_words,0,4,963885,51,2
392,open,action_words,0,4,229669,36,1
393,paint,action_words,0,5,26174,7,2
394,pick,action_words,0,4,122698,21,2
395,play,action_words,0,4,233865,52,1
396,pour,action_words,0,4,11879,6,2
397,pretend,action_words,0,7,30225,8,2
398,pull,action_words,0,4,89880,24,2
399,push,action_words,0,4,49690,15,1
400,put,action_words,0,3,552246,10,2
401,read,action_words,0,4,154667,12,1
402,ride,action_words,0,4,73070,16,1
403,rip,action_words,0,3,13626,8,2
404,run,action_words,0,3,244200,57,1
405,say,action_words,0,3,1153915,12,2
406,see,action_words,0,3,1781493,25,1
407,shake,action_words,0,5,26384,15,2
408,share,action_words,0,5,56854,10,2
409,show,action_words,0,4,347408,16,2
410,sing,action_words,0,4,69575,5,1
411,sit,action_words,0,3,198149,10,1
412,skate,action_words,0,5,2753,3,2
413,sleep,action_words,0,5,168103,6,1
414,smile,action_words,0,5,43295,3,2
415,spill,action_words,0,5,6182,10,2
416,splash,action_words,0,6,3607,13,2
417,stand,action_words,0,5,155391,24,2
418,stay,action_words,0,4,378726,16,2
419,stop,action_words,0,4,574016,22,1
420,sweep,action_words,0,5,7003,15,2
421,swim,action_words,0,4,20171,6,1
422,take,action_words,0,4,1312232,44,2
423,talk,action_words,0,4,567036,11,2
424,taste,action_words,0,5,41080,13,2
425,tear,action_words,0,4,18766,9,2
426,think,action_words,0,5,1839473,14,2
427,throw,action_words,0,5,83679,20,1
428,tickle,action_words,0,6,3025,5,1
429,touch,action_words,0,5,105846,27,2
430,wait,action_words,0,4,574752,6,2
431,wake,action_words,0,4,75776,9,2
432,walk,action_words,0,4,142055,17,1
433,wash,action_words,0,4,29707,21,1
434,wipe,action_words,0,4,13177,2,2
435,write,action_words,0,5,94964,10,2
436,asleep,descriptive_words,0,6,37535,5,1
437,awake,descriptive_words,0,5,20552,3,2
438,bad,descriptive_words,0,3,369996,17,1
439,better,descriptive_words,0,6,520328,50,2
440,big,descriptive_words,0,3,417218,17,1
441,black,descriptive_words,0,5,123718,22,2
442,blue,descriptive_words,0,4,68839,16,1
443,broken,descriptive_words,0,6,56391,72,1
444,brown,descriptive_words,0,5,30395,8,2
445,careful,descriptive_words,0,7,89667,5,2
446,cold,descriptive_words,0,4,99032,16,1
447,cute,descriptive_words,0,4,52240,2,2
448,dark,descriptive_words,0,4,73770,16,2
449,dirty,descriptive_words,0,5,47462,13,1
450,empty,descriptive_words,0,5,39482,10,2
451,fast,descriptive_words,0,4,99084,15,2
452,fine,descriptive_words,0,4,400530,10,2
453,first,descriptive_words,0,5,656387,16,2
454,full,descriptive_words,0,4,129735,13,2
455,gentle,descriptive_words,0,6,12745,10,2
456,good,descriptive_words,0,4,1741730,27,1
457,green,descriptive_words,0,5,52557,14,1
458,happy,descriptive_words,0,5,262141,4,1
459,hard,descriptive_words,0,4,242871,22,2
460,heavy,descriptive_words,0,5,38220,30,1
461,high,descriptive_words,0,4,140078,18,2
462,hot,descriptive_words,0,3,123994,21,0
463,hungry,descriptive_words,0,6,55259,2,1
464,hurt,descriptive_words,0,4,161421,14,1
465,last,descriptive_words,0,4,527395,21,2
466,little,descriptive_words,0,6,869522,10,1
467,long,descriptive_words,0,4,496267,12,2
468,loud,descriptive_words,0,4,32757,4,2
469,mad,descriptive_words,0,3,85366,4,2
470,naughty,descriptive_words,0,7,9829,2,0
471,new,descriptive_words,0,3,508486,12,2
472,nice,descriptive_words,0,4,405497,6,1
473,noisy,descriptive_words,0,5,4284,2,2
474,old,descriptive_words,0,3,431911,9,2
475,poor,descriptive_words,0,4,107444,7,0
476,quiet,descriptive_words,0,5,90552,13,2
477,red,descriptive_words,0,3,106589,7,1
478,sad,descriptive_words,0,3,57179,3,2
479,scared,descriptive_words,0,6,107906,4,2
480,sick,descriptive_words,0,4,108596,9,2
481,sleepy,descriptive_words,0,6,6175,1,1
482,slow,descriptive_words,0,4,50276,11,2
483,soft,descriptive_words,0,4,26642,20,2
484,sticky,descriptive_words,0,6,4063,5,2
485,stuck,descriptive_words,0,5,48497,18,2
486,thirsty,descriptive_words,0,7,10053,4,1
487,tiny,descriptive_words,0,4,27829,1,2
488,tired,descriptive_words,0,5,76540,6,2
489,wet,descriptive_words,0,3,25987,9,1
490,white,descriptive_words,0,5,112881,25,2
491,windy,descriptive_words,0,5,2067,4,2
492,yellow,descriptive_words,0,6,21226,8,1
493,yucky,descriptive_words,0,5,358,1,1
494,after,time_words,0,5,572761,3,2
495,before,time_words,0,6,578606,2,2
496,day,time_words,1,3,617674,10,2
497,later,time_words,0,5,208878,12,2
498,morning,time_words,1,7,303550,4,2
499,night,time_words,1,5,556318,8,1
500,now,time_words,1,3,2298830,8,1
501,time,time_words,1,4,1453708,15,2
502,today,time_words,1,5,366395,4,2
503,tomorrow,time_words,1,8,248729,3,2
504,tonight,time_words,1,7,246514,2,2
505,yesterday,time_words,1,9,83823,4,2
506,he,pronouns,0,2,5516364,2,2
507,her,pronouns,0,3,2154982,1,2
508,hers,pronouns,0,4,11120,1,2
509,him,pronouns,0,3,2431059,1,2
510,his,pronouns,0,3,1666361,1,2
511,it,pronouns,0,2,13631703,1,2
512,me,pronouns,0,2,6444985,1,1
513,mine,pronouns,0,4,170636,4,0
514,my,pronouns,0,2,4938948,1,1
515,myself,pronouns,0,6,240460,1,2
516,our,pronouns,0,3,1191941,1,0
517,she,pronouns,0,3,2778359,1,2
518,that,pronouns,0,4,10203742,1,1
519,their,pronouns,0,5,601171,1,0
520,them,pronouns,0,4,1327509,1,2
521,these,pronouns,0,5,683128,1,2
522,they,pronouns,0,4,3060204,1,2
523,this,pronouns,0,4,5739788,1,1
524,those,pronouns,0,5,528404,1,2
525,us,pronouns,0,2,1346903,4,2
526,we,pronouns,0,2,6755687,1,2
527,you,pronouns,0,3,28787591,1,1
528,your,pronouns,0,4,4610945,1,2
529,yourself,pronouns,0,8,302013,1,0
530,how,question_words,0,3,2140365,1,2
531,what,question_words,0,4,6900164,1,1
532,when,question_words,0,4,1531731,1,0
533,where,question_words,0,5,1322226,1,1
534,who,question_words,0,3,1734491,1,2
535,why,question_words,0,3,1722797,1,2
536,about,locations,0,5,2487348,8,2
537,above,locations,0,5,40388,4,0
538,around,locations,0,6,471463,10,2
539,at,locations,0,2,2431398,2,2
540,away,locations,0,4,564268,14,2
541,back,locations,0,4,1405024,28,2
542,behind,locations,0,6,148469,7,2
543,beside,locations,0,6,11813,1,2
544,by,locations,0,2,1090424,2,2
545,down,locations,0,4,978966,26,0
546,for,locations,0,3,5174060,1,2
547,here,locations,0,4,3138591,7,1
548,inside,locations,0,6,174081,10,1
549,into,locations,0,4,655747,1,0
550,of,locations,0,2,8915110,1,2
551,off,locations,0,3,799351,9,1
552,on,locations,0,2,4821861,5,1
553,out,locations,0,3,2510010,17,1
554,over,locations,0,4,880841,7,2
555,there,locations,0,5,3148528,4,1
556,to,locations,0,2,17099834,1,2
557,under,locations,0,5,189347,10,2
558,up,locations,0,2,2459855,14,0
559,with,locations,0,4,3806977,1,2
560,a,quantifiers,0,1,14484562,7,2
561,all,quantifiers,0,3,3544700,3,2
562,an,quantifiers,0,2,1449181,1,0
563,another,quantifiers,0,7,365421,1,2
564,any,quantifiers,0,3,767968,2,2
565,each,quantifiers,0,4,211943,2,0
566,every,quantifiers,0,5,388520,2,2
567,more,quantifiers,0,4,1010390,5,0
568,much,quantifiers,0,4,738599,7,2
569,none,quantifiers,0,4,80315,4,2
570,not,quantifiers,0,3,4262273,1,2
571,other,quantifiers,0,5,577197,4,2
572,same,quantifiers,0,4,348167,6,2
573,some,quantifiers,0,4,1166914,5,2
574,the,quantifiers,0,3,22761659,1,2
575,too,quantifiers,0,3,1022558,2,2
576,am,helping_verbs,0,2,785830,16,2
577,are,helping_verbs,0,3,4203821,14,2
578,be,helping_verbs,0,2,4210868,14,2
579,could,helping_verbs,0,5,1111837,1,2
580,did,helping_verbs,0,3,1742764,13,2
581,do,helping_verbs,0,2,4419883,16,1
582,does,helping_verbs,0,4,478174,15,0
583,gonna,helping_verbs,0,5,1188190,1,2
584,gotta,helping_verbs,0,5,230351,1,2
585,hafta,helping_verbs,0,5,69,1,2
586,is,helping_verbs,0,2,7400675,13,2
587,lemme,helping_verbs,0,5,1288,1,2
588,need,helping_verbs,0,4,1040131,7,2
589,try,helping_verbs,0,3,325748,10,2
590,wanna,helping_verbs,0,5,243109,1,1
591,was,helping_verbs,0,3,4401531,14,2
592,were,helping_verbs,0,4,1315964,13,0
593,will,helping_verbs,0,4,1969807,6,2
594,and,connecting_words,0,3,10572938,1,2
595,because,connecting_words,0,7,880112,1,2
596,but,connecting_words,0,3,3631462,1,2
597,if,connecting_words,0,2,2630800,1,0
598,so,connecting_words,0,2,3434152,11,2
599,then,connecting_words,0,4,1275502,5,0
